type, OBJ, lambda1no,lambda2no,lambda3no,lambda4no,lambda5no,A1no,A2no,A3no,A4no,A5no,S1no,lambda1hi,lambda2hi,lambda3hi,lambda4hi,lambda5hi,A1hi,A2hi,A3hi,A4hi,A5hi,S1hi,k1,k2, k3, k4, k5, k6no, k8no, k9no, k10no, k6hi, k8hi, k9hi, k10hi 
 optimal , 0.088865, -9.9999999999999786837179271969944, -0.0012365159794637903354491692553552, -2.3756614700348362698763965417115e-05, -0.098727338001331627070911167720624, -0.035872563398367987574921755822288, -0.0039142808997758744837813793537862, 0.028295216101778038891856326131347, 0.014280175389689894055456065302678, 0.08827005332617009203399760508546, 0.8730688360821379223608573738602, -0.00092640230134236056791507962770993, -9.9534562961657115920388605445623, -0.39587351097943968003534109811881, -0.083552421039535265667730357108667, -2.3932550605076371519688849254237e-05, -0.0013523009277207915374008351250268, -0.038573171001189246465123972029687, 0.89677182992068638078819731163094, 0.14103181898360186985463826658815, 1.4761217293489824924686976137522e-05, 0.00075476087960743662875345849627706, 0.01714358796990398531301380558034, 0.024307538271818418529335303901462, 0.062590982521780511027564841697313, 8.5845277589851010048224710935472e-05, 0.0047295985184252842606356104226961, 9.9999999999999786837179271969944, 0.0014923245526357246763804464961822, 0.73273754566470550297907493586536, 0.0012827548259295286445930139862526, 0.038877862001066444685992706808975, 0.012194077858184026660892662619062, 2.2210505816557238682763291478829e-14, 0.0013844249064908526348355310986449, 0.3687312334343434416794593744271 
 suboptimal , 0.42144, -9.9999998557513016805842198664322, -0.039164210065499333035532458779926, -7.3659982866119060318510491924826, -8.4570136505254865470770919699817e-05, -0.0057251377721736504758376362644867, 8.8429172700990132938159149489366, 0.81546606390145970344462966750143, -8.7344974078202692879813184845261, 0.02077540617515420684480176305442, 0.055338667644642750009786880127649, -24.123134147693846784932247828692, -6.7866515000146048208762294962071, -8.2606586695778858597805083263665, -0.12218562976322563939923782072583, -0.17221969019551514046284523828945, -4.0184908385813692711929778766944e-05, -4.4575620520113172773335463716649, 7.8020858351395192542554468673188, 2.216357615589890972529474311159, -4.5611874584430847079374871100299, 0.00030605972499131439690245315432549, -33.683728580468923041735251899809, 0.00010143638958303905590538351866314, 0.00025002205745092934835449582919864, 0.16657253457661466700123753525986, 6.9162180366295515909769164863974, 9.6245983511967949652898823842406, 0.49555854008059774251648832432693, 6.1724379358313630206112065934576, 0.035974767290097950378502389412461, 0.24451540747266375941393334869645, 3.5809117924624163464104257409426e-06, 7.1187282927033692646370081794333e-12, 4.1373464215674893296181835466996, 0.069151547284150460814799998843228 
 suboptimal , 0.22392, -9.9981147941731283168564914376475, -0.0001574960988944017258126667480056, -0.03679341535371919574837207278506, -0.41097618436843458278318053089606, -0.036837265738871881326499391207108, -0.00052290045745553783047843143805267, 0.034747278535559006362731793160492, 9.9999999999999644728632119949907, 0.0043273822549838312015446639691163, -9.038551760333051632301248901058, -0.031534525255961176615215890706168, -5.3348767150889102595101576298475, -5.9597892329992552262751814851072, -0.00079671472217841062153642628373973, -0.024100907231022834081857197929821, -0.023750004811518059255615042957288, 3.5820326754561815363331334083341, -2.6291979640853440081116332294187, 0.00069150677870287175896119036266896, 1.4087366755135937168574855604675, -1.3622628936631340224039377062581, -3.4418356277834920575742216897197, 0.011505630356404564912375931839961, 0.027855363051490576731250570219345, 0.038914770267012260829275760443124, 2.3172268927026591356366225227248, 7.0097406490897862241240545699839, 0.14513169174250759030364577029104, 0.93962567006710939754299261039705, 0.040592469013032927982465025706915, 0.0072128856994291001836216992160189, 2.4132842876795828068736682325834, 2.2274445532339523704310348515951e-14, 0.025635290545082473762095176539333, 0.17187384489332890868951153606758 
 suboptimal , 0.38463, -8.6428807934316012051567668095231, -5.953606437445699839372537098825, -0.027875835593132076289935028512446, -0.17577864904432416448543108344893, -0.00013722190895488681466191094315832, 2.4352778770090846016671548568411, -2.945783337886996200438716186909, 0.60894635062332058694778424978722, 0.87005954549907471573533257469535, 0.031499564755516296088444505585358, -3.6796988483877681730405129201245, -4.0317222074912182350203693204094, -4.2123228478622118942098495608661, -6.8111788414389637201637114904962e-06, -0.0053983177700448782554421001123046, -0.16214067686395808309818278303283, -4.1920823549544863340088340919465, 4.6320252703660722559675377851818, -1.0505700873127476072739668044864e-06, 0.0040705934533581157597215138821412, 0.55598754170514319561391403112793, -2.7004445228258777689234193530865, 0.046558025371352527999047055118353, 0.12249924431526557078164785252739, 0.089796212685593554403418181664165, 5.1448575675166701159923832165077, 0.83129941654860484145928012367222, 8.0829166179433542538390611298382, 0.0011298745066085145831447089648236, 0.027517637395500033070661061174178, 0.38381671813253809277810546518594, 2.4171267452250311258410420123255, 0.18352399434029259550626989039301, 0.0026978282080707166774857785895847, 0.010304125062514622734877178800161 
 suboptimal , 0.41232, -0.18941929085932890375332249277562, -0.15356995534139300518816639851138, -0.089582837871228671033918544708285, -0.00019801952933788490160069151180267, -1.7628582678679789183130558784252e-07, 0.27169320182525025231257131963503, -0.80089965109650751440284466298181, 1.458654763841132684376589168096, 0.098957363264409792247278119248222, -0.028405677834285103511291481481749, -0.059159833671466821591877760511125, -0.19950642764871862055997553397901, -8.7134906491569941145401700932638e-05, -0.014375517765717518020585075078088, -0.014536397333285530630853088496224, -3.083162136982126073908713412286e-06, 0.98920524812894761179649094628985, 0.0060129659479974803190649446094085, -0.87731878316756839453205429890659, 0.8872384524663520233289659699949, -0.0051378833757287356576171077904291, -0.19763865228466598322754066430207, 0.012664822883950007867404075057038, 0.033178714757261515422293030042056, 0.0020653490837652228005738574978523, 0.1180510481681545792431720087734, 0.012680028325400159380786924145923, 0.19483620358311054543420937079645, 0.13060755455614611597603413883917, 0.00025985635707533575764968669652433, 0.0010531842317059508448706672822937, 0.0058875893202755503683110127610689, 4.9595775887692756768920440690884e-07, 3.9463454983498012058288489933844e-05, 0.00083496782763916883168819893512591 
 suboptimal , 0.1921, -9.9999999999993871568904069135897, -0.038522764152119394476248004366425, -0.0010569363311056132696125198222603, -0.083531258972333946588584296932822, -2.3901844195270160228338623964461e-05, -0.0033509970091403998987411583243556, 1.0149779413795545490728500226396, 0.029198258984819952521760910713056, -0.053975651338572516735325734771322, 0.01315044798333833697689954078669, -0.0011123066744884713401980702585092, -4.8196291692792989636018319288269, -9.4076940310114238741334702353925, -0.001809483812227539317740721003247, -0.00056856879257230583547128022203765, -0.055184105239971963097200813308518, 1.8689427599987318284746606877889, -0.97562583180117956604959772448638, -0.0011511420480299341603802609768081, 0.00073205216157470366644677284284626, 0.10710216168890296373206183488946, 0.16486960232208280885402018611785, 0.014233821809475952213652760747209, 0.036668156287192450737411064665139, 0.0071596069809272142384082293631309, 0.39344474706926130247452988442092, 9.8222687548939884294441071688198, 1.8813965303020125307501692057954e-05, 0.62888263237486985435253927789745, 2.1349271306549968095500613429749e-05, 0.033859811927583402524355449259019, 0.06691936300762138523090527542081, 2.4529028020795628239767291855289e-14, 0.00058638154173641437658104358376931, 4.3302172933228106899150589015335 
 suboptimal , 0.34069, -0.069778718089590144324496634453681, -0.080240234763872875234369530517142, -4.3216279409614175577303285535891, -5.5801467552752361811485570797231, -0.00028780507368865026075060997712285, 4.7128620321590117825394372630399, -3.5958172084142518976079827552894, -9.2118698074944411757769557880238, 9.0351156784108628272633723099716, 0.059709305338818907671338820364326, -10.647342926660980921838017820846, -4.9368882423733699837953281530645, -0.087891043424053599819600890441507, -4.8073733503463128246516351815831e-06, -4.3191779580804343652289389865473, -0.0047625458541724194003186276802353, -1.0999506430218397579068323466345, 0.25364437418862550988052362299641, 9.9579987585516488175080285216723e-05, 1.8448147982995199978262235163129, 0.0013918905461089980946098876302131, -2.5600497149576884048371994140325, 0.012153196524027005606671814064157, 0.042547097640718616051724865201322, 0.143631933064849615089286771763, 5.9001416073892798408451199065894, 1.7479457855307627411889370705467, 2.8180488184435592557974814553745, 2.7310840986092176714596712152651e-08, 0.069275260361393656283190978228959, 0.21380035606297578820722549153288, 1.8569259326117610875428454164648, 1.1749060836789873008001450216398, 0.0036266819864695484972039185578296, 0.0038745949962428467665265241492989 
 suboptimal , 0.20857, -9.9999999999999698019337301957421, -0.00063178217268246240814061343016306, -3.0132814296141653470292864902547e-05, -0.012639015797416353406590339147897, -6.9926722959329774553793868108187, 9.9999999999999698019337301957421, 0.0040444824689080090610038276111027, 0.016356817546212376601744153958862, 0.37525897202247321393642209841346, -9.3956602720375634874017123365775, -34.303972665908602834861085284501, -9.9999999999999698019337301957421, -0.036289306963989638454837205472359, -0.17781979118995036581729607405578, -0.00084136570561632411085345450985074, -0.036280873927001550116600014916912, -0.0014471640020187073825269630233947, 9.9999999999999609201495331944898, 0.98393918280407222098915553942788, 0.00057212227576827247039342738688106, -9.9830641410777829491962620522827, -0.16119147950598766705354591977084, 0.00098626606384836080880507136470214, 0.002707149703067323383981479523186, 0.11775405771148346467658285519065, 5.890878206572734754331577278208, 5.5819160545309891574561333982274, 0.0013632825491469615763334699565235, 8.9018151048046103568367470870726, 2.9776845233630967708449502340251e-05, 0.8717533606628510289837663549406, 3.1002225991522494066495361637818e-14, 3.1001776283245489848338488431847e-14, 0.13581293933126617479167919100291, 0.023056568800017076398267690251487 
 suboptimal , 0.33404, -1.0619195505309699800733369556838, -0.0039725872855271224248774331044842, -0.060940124335622306017690164026135, -0.0010360193002780357287434531698977, -0.33564702731149281822453644963389, -0.031293869176959858424691418576913, 0.5797086559229146507377095076663, 0.84934723493109720582339150496409, -0.35362288224313198625736731628422, -0.044139139433920115962450836377684, -0.0056491667757686669232297660414588, -0.6944269570752603648600143060321, -0.55104976848090891916598366151447, -0.0096613901937113201567886022758103, -0.0097024287805096229991841383366591, -0.00070112037944514908442694700596576, -0.65860385321287950866064875299344, 1.6471575798909023902183434984181, -0.99199568973796203863457776606083, 1.0029403066444440018045725082629, 0.0005016564154951552723105123732239, -0.45046078453461296797755153420439, 0.094028751956334422068550793483155, 0.24036958770741684299210305653105, 0.0067534170070425213541764897229314, 0.36642476596104439634515870238829, 0.67234947490149843396523010596866, 0.0075763845889098057131971764022182, 0.01100936437902474453187640079932, 0.0040225436754321988383487074258937, 0.051983081012489475158933061038624, 3.93576312541775276046342127138e-14, 3.9958094486268935628200802716948e-14, 0.021821069001517728880301660865371, 0.0027095001872481727991925914977855 
 suboptimal , 0.32568, -0.10866507383775401984760122786611, -0.028202191837286345876822934997108, -0.00013803812750615891973178517293519, -8.9065015832906979653671442065388, -7.7560006333350823837236021063291, 0.27337332200886366173619990149746, 0.63228130882879962637588278084877, 0.031532109482832373914540369241877, 9.9950223218701932381691221962683, -9.9322090621906884422287475899793, -12.03400456161675435851066140458, -0.11286913805107003094807538445821, -0.00058139987337215706057064190659389, -9.9277655480780033769860892789438, -5.0701270871862025302334586740471, -0.0050639491141502611729063865197986, 0.31876746559111890366722263934207, 0.0002894596746011227875357285643787, -0.728057390806852944287186346628, 1.407786324631673968710288136208, 0.0012141409094590382977685294463299, 0.054342178270884375357319129307143, 0.028533628388926146612902812194079, 0.075449922517702286417495827208768, 0.15988176771304943302176582164975, 9.2300710456541974480160206439905, 0.80930853738340080560931255604373, 6.3659270586108922529433584713843, 0.00050123430212331283699345174653672, 0.02648712289445732254167253927335, 0.3159369333896616671708557078091, 4.0255982398102913179379833130689e-06, 0.0018476784113486291547673312507527, 4.9236937554175161935177129635122, 0.00092212473302159087776980195272358 
