type, OBJ, lambda1no,lambda2no,lambda3no,lambda4no,lambda5no,A1no,A2no,A3no,A4no,A5no,S1no,lambda1hi,lambda2hi,lambda3hi,lambda4hi,lambda5hi,A1hi,A2hi,A3hi,A4hi,A5hi,S1hi,k1,k2, k3, k4, k5, k6no, k7no, k8no, k6hi, k7hi, k8hi 
 optimal , 0.094711, -0.90585561406971282227829078692594, -0.0010266054622899440512684421378253, -0.094177402860524520034068984841724, -1.6267939146808540427100245318037e-05, -0.041338859142428019399773120312602, -0.032111568516238607473578525741686, 0.030518344488321372254269192580978, -0.17067145707674988286406403403817, 0.012815473046232830900414967345569, 1.1594492080584339888105205318425, -0.0028000070882859551257837438242859, -0.089994299077638090222919231564447, -0.63785866095933319019906093672034, -6.2726672358663204575110602587151e-07, -0.0010469190360114294033322401844543, -1.0787874491797222464839478561771, 0.1876905539656531785031035042266, 1.8080295758757336521682645980036, 7.0962056767534491190743163591126e-06, 0.00065787399374275801200440128013724, -0.99638510004080627080469412248931, -0.095271352362153560733304402674548, 0.022732513049134709520737729349094, 0.05982449967146475505730407462579, 0.0062956081611528465560856382410293, 0.36626335796797770960608886525733, 0.55179534071496549874069614816108, 2.3770195567437669102988512248587e-05, 1.6307460142108221777751744796525e-05, 0.045735948011477345342967737451545, 0.0002712836899775728362153859318795, 6.4473490757923410009519590499472e-07, 0.79910343361551849916679657326313 
 suboptimal , 0.41128, -1.1431609928772590301093714515446, -4.4312826656888413268120530119631, -1.2471391924629485735160489001672e-05, -0.055316403536514430205883741109574, -1.038415445636907241677704405447, -8.8145012239439868295676205889322, 0.6986770836055062883218624847359, 0.036450359449399782896250599151244, 1.3371091975961333364608663032413, 7.7422645832929468667771288892254, -1.1332933326458105582901225716341, -2.7391648473036189770368764584418, -0.19898375922229113998973559773731, -6.3983919087576721245239595725618e-06, -0.78155301591149428652727237931686, -1.1028026547062405119119417318263e-05, 0.45416240200843305263589400055935, 2.7359448029190716056291421409696, -0.076328082150258338978154881715454, -2.1908887051389682731894481548807, 0.077109582361722051047081549768336, -0.076138955419750589670435658717906, 0.035370284245964167535447586487862, 0.10967963090053194086248566918584, 0.038788752351829297593255319043237, 2.2471574661893987112648574111518, 0.0025014029989263398753851497247069, 4.2947237314440539989422729316715e-05, 0.25515975114242755994453659695864, 4.1343844692605848933908418985084, 1.1611235003197488691029093388352, 0.0018616916237970148641223122609745, 0.0047003039282113145275188159644131 
 suboptimal , 0.39257, -0.015211992546309881582655698650797, -0.015766749162372150488975464099894, -0.78894904266610355048072733552544, -0.87922491673868230499522269383306, -9.119296441696770347609679596701e-05, -4.6644940779998416147122952679638, 5.1792904115390259178752785373945, 1.2821505450752974653028104512487, -0.82574226518541093966518928937148, 0.028795386570929171199395568692125, -0.29624522028336292001071683444025, -0.012585412100044043176572117204159, -0.00015731461683320623577697627837324, -0.00015805738779946359724541682378884, -0.012629320731442334954652828571398, -0.33837497659303006347641940010362, 0.44124967656835112350677263748366, 0.06309012973618390029972857746543, -0.063141388281807958593461194141128, -0.43228376272236895827560942962009, 0.99108534469964193469593283225549, -0.33545228408333638281391131386044, 0.0053791910290294040614123005639158, 0.014195539297342487511377484565855, 0.0003642850657924674479155868755953, 0.018527110616592422365211945134433, 0.35120379037390209164826160304074, 4.7127133779670321243038719183881e-09, 1.6759486519089132894322347056004, 0.013356631355924637738485927229704, 0.001006329437405557554810475728857, 0.00036906618986342937423217325232372, 0.0050740648414912383271091478320614 
 suboptimal , 0.37393, -4.2889313849421091262570371327456, -0.22737242472406685167563011873426, -0.016490411908352039377367859174228, -4.4041752978780896810376277450416e-05, -0.25507230271362113516175895711058, 0.12931035210429125958953022745845, 9.9999999999999680255768907954916, 0.36372094975261370919383807631675, 0.021357959405044969064535465008703, -9.5143892612619165305432034074329, -0.40746914591793537141484193853103, -4.7064175783983515088948479387909, -0.001602586530753550729186396317516, -4.8130623759991881421057419165876e-05, -0.55533664210984678977212070094538, -0.1079551250772949611000939285077, 0.23694780247438151921102189589874, 0.0012983170224058269807965171338537, -0.00016791212347931139866469285593098, 0.49097392112636717431684019175009, 0.27094787150032484390749232261442, -1.417083395391012690112120253616, 0.032669470471176451087380598892196, 0.088248883508067574310551606231456, 0.00017075681508993596508655388177544, 0.0093957052712254594817320452193599, 0.48385735109835370515440899907844, 3.3835892863855866926245768746413e-12, 3.7806437267283068415224533964647, 0.017504404377875915771456405423123, 2.1379400430074460004448155814316, 2.6448139534185877153049659682438, 0.0029305051222883742208236146353784 
 suboptimal , 0.2376, -0.93264653592779744872842684344505, -5.8546584048392681990085478771491e-05, -0.093109831801583789467890994728805, -1.0500186359600496288635440578219, -0.020044147801170482392496552392913, -9.9620623756926942604650321300142, 0.023862546846731693545029528991108, 0.7473647828266073434022587207437, 9.7889025308155694915512867737561, 0.40193251520378581176373700145632, -1.0650919186012670625274267877103, -0.4770056002358217250858274383063, -0.66422300935976741342869900108781, -0.05607429503226813577443365943509, -1.7378594530756509474472447027149e-06, -0.056128129450113757592522034656213, 2.8056653678694516429459326900542, -1.8909805385002791400239630092983, -9.9999979951718422910289518767968, 0.00027489609312752311381239378462737, 10.085038269709542646523914299905, -0.087596805023999968486947409473942, 0.03038794751168391941598123651147, 0.079217421605699667175315425993176, 0.00021963532728325730583769648252002, 0.012936226763363787434224505545899, 0.56020494805472398347490070591448, 5.8188465595121534958177392238277e-06, 1.5265827677578760468435348229832, 0.01878118083485953368483301062497, 0.23430481139790831912605995057675, 0.0012376787922174573020051013827469, 0.37426226588839872633229788334575 
 suboptimal , 0.41199, -1.4456018795122174136480452943943, -0.21437288141368132654562828065536, -0.02788281958399002960491408487087, -4.5589479287990069116009474170514e-06, -0.20933535035320399719793726944772, 0.17660711419619751216814051986148, -9.9999999996651887101961619919166, 0.67918832968249509551839082632796, 0.022348923797810022612297942146142, 10.121855631988685431110752688255, -0.24937474464678421881558278982993, -0.89998328467895538640419772491441, -2.5099508755787076235733989992838e-06, -0.49435836534893806692991802265169, -0.069062781392101160737873044581647, -4.8817021855315461854201743163717e-06, -1.1266698578424225729577301535755, -0.1847301883854109150195910160619, 2.037459358913444429362016308005, 0.08863577733781680123570367868524, 0.18530490997657222962402556731831, 0.00062708701896310075143969875455241, 0.017484617481260709276336129391893, 0.054482784339625771330428705141458, 0.0074323367028755775096082736297376, 0.43734811724124195153606819985725, 0.0010508538088925623368852235728355, 0.72576657593004978430428764113458, 0.11289388762068414129302595938498, 0.45928424646780408036050857845112, 0.92503949849032385266411893098848, 6.7309161811985430230384497285456e-05, 0.040258735288571795285506027539668 
 suboptimal , 0.43005, -0.010182420074259658504534087342108, -2.2785981326012310077544498199131, -0.00026711275075418040771818573020369, -2.1427786059257933892752134852344, -0.0070545187833380464115240471301149, 1.777357362636071025363548869791, -0.48853408423301669660787638349575, 0.059054803618692322531025240550662, 0.79040861108658400091542262089206, -1.1382866931083306383243325399235, -0.59058131845257089143075290849083, -1.000102970101915067502318379411, -0.48354850548985689462355708201358, -0.9735965208319813379844731571211, -0.96617903017774198204392632760573, -0.001383785844589992351100216083637, 1.3305658395145019134986341668991, 1.3040560772983189607998610881623, -0.84741111358282339427461238301476, -0.78955303734728787823371476406464, 0.0023422341172903982098318920179736, -0.37339435662090020295877934586315, 0.00075380435219136955517921228064893, 0.0022175907299815541227905324461744, 0.035631982023609190535218260720285, 1.9049501495704579401291312024114, 0.20427736036149421461338704375521, 2.5860501323985175151388689156196e-07, 2.2001731838856168899098975089146, 0.0081484797242167283926050913578365, 1.6085320353796002113000440658652, 0.035379896555887323239542041619643, 0.024907159949806922244475160255206 
 suboptimal , 0.38262, -5.7202178015739164607111888471991, -5.808971286018940638484764349414, -0.0097121492563921590218667390104201, -0.025198994227786607885688496821786, -0.00012765001188872038121770169372127, 7.0681023354888292686837303335778, -6.749714129667803597101283230586, -0.038010871291334243082804533742092, 0.68813894265037112152327836156473, 0.031483722819937498549336396536091, -1.2391644956187810588943420953001, -0.060500393121763765269527368673153, -7.186296622057525063098637474468, -0.076139998425369337375911982235266, -0.00028428069115494765482093919573003, -0.00029695493513797464098930012355027, -0.2234141951384951141346135727872, 0.76647597028404657049094339527073, 0.45566285724962146685967923076532, -0.077581344158703199886950585550949, 0.078856711763530304426517147931008, -5.5293025607507209073787635134067, 0.00014500241986834807531719926387836, 0.00043660809697023447283753538883389, 0.12213082263102686964018062099058, 6.3902735438028628323081647977233, 0.60358608076376296658338560519041, 0.97157121581621741501777478333679, 3.8315748628086381266655280342093, 0.026419351513169424261473494652819, 0.11725991850515321557324455170601, 0.0094318171755307395748291199311097, 0.026260754924973723350989374125675 
 suboptimal , 0.19481, -1.2110599731184301663944324900513, -1.208456342768418956268305919366, -0.00027601747148532537442025547314017, -1.139613281643199860226900455018, -0.00027348085194067641573445470726256, -4.1297712193441880046407277404796, -4.671523483788255326487615093356, 1.2294418498384676041723650996573, 9.6707110128978737151328459731303, -1.098858159603897988176868238952, -0.37417673773688120419933511584532, -2.898817501310694932925571265514, -0.11892330651532451168961301846139, -0.11038057410083688958390979450996, -0.00017311243703946516993286142138686, -0.00031826645447319181891215889024238, -0.0096983416409809931890695366973887, 1.9223671116101403999465446759132, -0.91312043698462630469947498568217, -0.00010685053194370706833131456914288, 0.000558517547410657079140494651881, -0.099709931969099246940047009957198, 0.00015392848113424180303381028078746, 0.00054158608719804884543136402896835, 0.041174766471616698615410001593773, 1.9179440041465798394426656159339, 0.69511749635321073981231165817007, 1.0753209337319429295121153700165, 0.060918818215723674613926164056465, 0.46819105564148444376115776321967, 0.2082371055375636659245941473273, 0.0046388467818238767609306805184133, 0.10050737866440975776249899809045 
 suboptimal , 0.45359, -7.0988742444655796859365182172041, -4.7177127573437367402675590710714, -0.030566826479656389325967325021338, -0.029987772295281583251336243733931, -0.0001608457382849987917471101805944, 9.9969407416070072969205284607597, -9.8941789841097573798833764158189, 5.8842584411408020983458300179336, -5.0217664454831414388991106534377, 0.034746246845089423516128590563312, -24.318407844096018521895530284382, -0.14333437957334899115480197906436, -0.0010754295645283551939586086376721, -0.14393193827390082795147918659495, -0.0010168402889265269924135015600086, -4.0158015331932741531772990128957, -7.648568898420458062048510328168, 0.074185543784033469716376885116915, 8.4009013618637062847938068443909, -0.072292513021974841302963454836572, 0.24577450579469287128553389720764, -1.0998430471591509327566882348037, 0.018620797398597965094380057848866, 0.050888494545965896886929868969673, 0.070465389508516065864007771324395, 3.7675820521806944185527754598297, 0.36959540575218163827031503387843, 0.78478379311055301847943610482616, 0.0016983933554958006301172090957152, 6.2150619012441659094747592462227, 0.15255066471346251377738667542872, 0.0028658512826359259367814402708063, 0.067174753281759827516772531907918 
