type, OBJ, lambda1no,lambda2no,lambda3no,lambda4no,lambda5no,A1no,A2no,A3no,A4no,A5no,S1no,lambda1hi,lambda2hi,lambda3hi,lambda4hi,lambda5hi,A1hi,A2hi,A3hi,A4hi,A5hi,S1hi,k1,k2, k3, k4, k5, k6no, k9no, k10no, k6hi, k9hi, k10hi 
 optimal , 0.024917, -0.0020677667207303317142841336817582, -0.0010008197808247520921298701068736, -0.0001219601108971061457098700175905, -2.5060155754614146239589445031015, -0.039806296804696460200911900528808, 0.071271986569849787862551693251589, -0.04966632007947175547757368008206, 0.033315267316975226419284439316471, -0.015414388683335708551958020962047, 0.96049345487598247750327118410496, 0.00029328064282405780227591662878694, -2.4863231328884141113633177155862, -0.43973219693328036150603566056816, -0.00013723147957571795178995099906416, -0.080605253678183386156774759001564, -0.00092357389033342277961241562067585, -0.20394829566706612622439820370346, 1.0680115254071935737556486856192, 1.2243523919139264724467025535759e-05, 0.13533602658675769614404771346017, 0.00058850014919578641503505878063152, 0.026532971054431114810157055217132, 0.00018944901975575091732789667631209, 0.00013102257823425074402187706645861, 0.00064536559055911166173785664668117, 0.0028076659705783334024242758886203, 2.4964288354018338011997002467979, 0.0016487961000871066870321346442552, 0.00226020023582811525192370893933, 0.038191675065607028072278694708075, 2.3373189096530084111055262215589e-14, 0.087619067544014744841618380633008, 0.42049517713623479897577794872632 
 suboptimal , 0.098979, -0.81683052049345772349653316268814, -0.040887295760660011256781842803321, -0.0014684270504138575638708452686387, -0.0014003003116411197499779905939477, -0.00012162338838717979584702622020131, -0.049852278875012021042145704541326, 0.99469766545936333379529514786555, 0.90359513675904623575263485690812, -0.8814368624144975905565502216632, 0.032996339071100000417402497987496, -4.6235093684558503960776998376048e-05, -2.2202982977652654383859953668434, -0.094927823484276210863619382962497, -2.4334614749775544950693983992096, -0.00097927384575371935124254996196669, -0.00014082652611161421791693970639869, 2.4439838136695479775539752154145, 0.22578823802207514948037214708165, -1.6704122593359296278237025035196, 0.00062643409818209227091917457030945, 1.377354612451954073842896875135e-05, -1.3829234222261526099373440956697, 0.00019121080196527395420047490404158, 0.00013272377886927729743332671219491, 0.00069299574397618812510862840170489, 0.0031014108499038675267889253461817, 0.80680314321835000512805891048629, 0.0017510152961131952419754354011161, 0.0020872953034059937675592788508538, 0.039182512156700176342294383857734, 2.3477896652194206904227603647209e-14, 5.1792690627982373996474052546546, 0.1284526848437037849226527441715 
 suboptimal , 0.098307, -0.8316136396379976147841261990834, -0.0014323691353917060529316040984327, -0.00012184035370534855146490427202366, -0.04093662207322336377135485463441, -0.0014412297010929608475499064113023, -0.048973250787773002501435115618733, -6.9685784360316924690437190292869, 0.033232350563440912760704293305025, 0.99357172874635557580091926865862, 6.9907476075096690593113635259215, -4.4392486611012638153539455743157e-05, -2.358335419736634186449464323232, -0.00098786597168114081111978119764672, -0.0001405482882734859979064617752087, -0.095127929884509160318728504535102, -2.4045412296904538074215906817699, 9.9990955361390767563989356858656, 0.00062987863401723622955308279358633, 1.4008460240756889566703276284176e-05, 0.22630228683363398656247511553374, -9.2260417100669691592429444426671, -1.4183517817865514132336102193221, 0.00019147435439143906327555400004314, 0.00013280236261392554687060796325682, 0.0006940090086808684043465089708036, 0.00310534733176385125547058763118, 0.82068550870232914729029971567797, 0.0017506630280494964949783431862329, 0.0020935737029679035541007703358218, 0.039254989282366148373171199637, 3.5875017543206263790219723470394e-14, 5.2862298006797203697715303860605, 0.13078166833159340920467172963981 
 suboptimal , 0.031483, -0.0023711439241936396217502736050164, -1.126411582984959025566240597982, -0.00013949908138677190186718868325499, -0.0013769221791823354605205365075449, -0.040885504681371399871014915561318, 0.10251815680347883819045762265887, -0.035684028675146979570076410936963, 0.036001334507295153219974537250891, -0.078323952762342274880325021513272, 0.97548849012671523528439365691156, 0.00017130252755637870309968207038764, -1.9745284001781635563332883975818, -1.9521778455557972087319740239764, -0.0012075792418695784763427170105388, -0.00016261320977710100061514042479871, -0.1552626063592281169256636985665, 2.6610778890800150797701917326776, -2.7848833387277256434799710405059, 0.00082026360748573749846063174473443, 2.0088046993538510821483700219403e-05, 1.1229650979932312981901532111806, 0.0078582074823176362166066155623412, 0.00022860848823937329190800205047651, 0.00015894291931567365951973036519718, 0.0008180292969648673669438854183511, 0.0035077037106397601813612130428055, 1.1175369276175368682402222475503, 0.0019946865068841130967658425987565, 0.0027319343105632037244090426497678, 0.039072339850464175847744030534159, 2.7661766873403626758147520429823e-14, 2.9919697970457366231755713670282, 0.18953237585311655255537743869354 
 suboptimal , 0.10856, -0.4857744964856424152443992170447, -0.00019119297688456235971565799758309, -0.54158947272715318721481025932007, -0.0021484410701342209794317827942223, -0.0023525320420454513825614384359142, 8.5649897732234059333222830900922, 0.069246431891415660686561750480905, -7.7685233771312356410021493502427, -2.4732106011947831980535283946665, 2.607497773211197245046832904336, 0.04586297093499816512895961295726, -2.2086396098852789648958605539519, -0.0017621747330062256277349863609061, -0.097789696707603832037669633336918, -2.31229286775446896129437845957, -0.00029940092891182404745767375864318, 4.4158135910519851208277941623237, 0.00080426186985152459379272427142382, 0.23272458173617066590210811227735, -3.6494164340248436140257126680808, 7.3999366836385860324298846535385e-05, -1.3371807208753843099202640587464, 0.00037799698954093705581536166704382, 0.00026216023485558977981421668879136, 0.0013895473393475748710712558420255, 0.0061964926568063840792155438919053, 0.78478699411029873012068946991349, 0.028868710219236259906239183692378, 0.0021556058905799462682706391092324, 0.31615368167378382624477239914995, 3.1306467980436949700374197950707e-14, 5.0560065441995254431617468071636, 0.12646244303436629530246193553467 
 suboptimal , 0.027807, -1.0849474957028744093179284391226, -0.00054056578006112768371160814950827, -8.3982232815604844705995035702983e-05, -0.0013769013540478975896053093208593, -0.039258707009566150281099083940717, -0.036328662994602904656726849452753, -0.028491122473716521540376689358709, 0.027182417874849360006628273822571, 0.048887108587748043242449114131887, 0.9887502590057219986618974871817, 0.00054344097397823060147104001771368, -0.17533957644544947984677207841742, -0.0068674159483179510535255651859643, -0.00052708865914772803657611932592886, -1.1468839070465288720868102245731, -8.892631477844142634699153848743e-05, 1.1751466272912942656603263458237, 0.0021960172302249781652039306578672, 0.0002711076316448099475867050678346, -0.17761522179874417171063782916463, 1.4696455801210817071478231810033e-06, -0.0023608963552723526840848577990073, 0.00011562904744252728336372654238673, 7.9210191651433650835908983900424e-05, 0.00039902774900523764727705566812688, 0.001721519782758179151552213603793, 1.0812845140541269550737979443511, 0.00097120365078691211699335461560167, 0.0014230492239469413016939025595775, 0.038180443582723766482445171277504, 2.9372574507413227982344470164046e-14, 0.007067878496203937842279341197127, 0.18397683759991459440108485523524 
 suboptimal , 0.1108, -0.69016453904670327368364723952254, -0.0049528130330092744876280264065826, -0.00014700770648379781120086706724948, -0.11363082067279524356440134624791, -0.11974183754670424117971805344496, -0.02420757528012886308776963062428, 0.1180455110485476577508734408184, 0.025535072511188777744095546040626, 9.9179729444684596728620817884803, -9.037345952748067290372091520112, -0.028720195326612296682355918164831, -0.20691051851513647674707385704096, -0.0059264299854307504397676886753743, -0.0001946157522942747598697355027042, -0.43895022874982836391666296549374, -0.0013933110713636193828124376636879, 1.73552217360139127144691428839, 0.0041559646504456780602421162029714, 0.00014070542797716157896840971641694, -0.7393214485989495488027500869066, -0.00049739508086454886637284289463423, -0.034596438243159687020433779025552, 0.00021470903184344334885952365610251, 7.7351210239434553534018310094744e-06, 0.0079727450071133791620336950245473, 0.039248116210446645779619245786307, 0.6206976399703237889937668114726, 0.0017790005268344330491281368722412, 0.29091660702674931870959085244976, 0.024123955148114745172804873618588, 0.00011015581080962887419727458393481, 0.0011819041102005569104232973742796, 0.11394085565594638809194805162406 
 suboptimal , 0.09869, -0.84252273293474677640091385910637, -0.030623866347775002827447110576031, -0.031131518984138073502521137925214, -0.00012156391420834944589769721634553, -0.00093439035986665535879480692926791, -0.027510412548594324194661808746787, -9.0087516554540929547556515899487, 9.999999999999976907361087796744, 0.027946312938121269098257215546255, 0.0083157550645886549323115843890264, -0.012265402644408840426848428251105, -2.3894526733300538445803340437124, -0.00096897871485167612250893887093639, -0.00013619882013844142559615135734674, -2.4361865221526612934610511729261, -0.095337944325347076524046485701547, 9.9999998503823803730483632534742, 0.0006245428000030378394569208211351, 1.3089549407494392767531757315602e-05, -9.2283451211322837792749851359986, 0.22770763840049390580588806187734, -1.4342661550243220869305105225067, 0.00018590142099463144356036314874814, 0.00012908217095058483261937887220938, 0.00067733056497759061218011389371441, 0.0030282635518293419922553066925275, 0.82899043356593871134663231714512, 0.00097349630574824379865978007941862, 0.040632949334124049411975931889174, 0.022621006328035452026536944458712, 4.3026883450079414739298013856993e-14, 5.3540595064630904786895371216815, 0.1319378493124332973884804687259 
 suboptimal , 0.10284, -2.60776741323262450933384570817, -0.00016019684281787198031239694007155, -2.6129874297355568657508229080122, -0.19996692911418603721962483632524, -0.050070096103660033381999028279097, 7.321141107683356352708869962953, 0.041906681837457507300293002572289, -7.2781938639823957615249128139112, -0.27990514322845921890703380086052, 1.1950512176900409677671177632874, -0.077875401231992852357777223915036, -0.49193972820127285228153368734638, -0.00071972108755238059073916501162671, -0.09050136839389597009919441461534, -0.014177668944580466836580256995148, -3.7790260706833631587642230442725, 0.97768058271964597416570086352294, 0.00046997794367035643269339684202635, 0.16043470439454393661193876141624, 0.0016388764414607696808662273824098, -0.1402241414993210255612865466901, 0.034407632348121053311729156121146, 0.020011691165342602310994735148597, 0.013258657989896303897037199703846, 0.069262342227382839299210104400117, 0.33693004930957565212779059038439, 3.3815321058342275861718917440157, 0.10149292781166054100427942330498, 1.7601032945847043809095566757605, 0.0014153998433421985034263990144154, 2.9883677543111878115164467210211e-14, 0.00070407497316669258400484432414146, 0.51994492607738562739427834458183 
 suboptimal , 0.041485, -9.9999999999999680255768907954916, -0.2140749445499663672354273558085, -0.051357926941221619665522979403249, -3.3095189115606444829609245061874, -0.00015618402104643490683685835840322, -0.0063117690516365431915857264755232, -0.36892505146110105007650759034732, 1.3125439179603255457351451696013, 0.021263783821301309590046102471206, 0.041429118731110797790861965950171, 0.004306400550956976380767571299657, -4.3556879235715157960839860606939, -0.19470731716642569741892998536059, -0.19398851153823720716573575373332, -0.00066766768569419504379680585515189, -0.013490969355954018221721568693283, -0.083575466159959282963498594654084, -8.9004320773834901814325348823331, 9.9795361568114575590016102069058, 0.00040211553794250681857086471282514, 0.0040692711940484823165964378688386, 0.16103736827472550641182635899895, 0.020480974969796450491088535272866, 0.013948076557239711195657072551057, 0.072182723415446833903352796824038, 0.34335209002842698167157209354627, 3.1937844836260875780453716288321, 9.7116866912510513287770663737319, 0.098587787737539789301166592849768, 0.12986659729799943097106051936862, 2.229541585896521532225698777315e-14, 0.00066598509626040645285188768198736, 0.47150236520169819254277854270185 
