type, OBJ, lambda1no,lambda2no,lambda3no,lambda4no,lambda5no,A1no,A2no,A3no,A4no,A5no,S1no,lambda1hi,lambda2hi,lambda3hi,lambda4hi,lambda5hi,A1hi,A2hi,A3hi,A4hi,A5hi,S1hi,k1,k2, k3, k4, k5, k6no, k7no, k8no, k9no, k10no, k6hi, k7hi, k8hi, k9hi, k10hi 
 suboptimal , 0.252, -9.3028185155626594848854438168928, -0.046415083670806329962932323951463, -4.8853233100077355643975351995323, -0.018466789537660156794718346873196, -0.00015556298325755939671727334783213, -0.0073447821456338706347377609517935, 0.80603640376565321989943413427682, 0.013824146387531866669862168350846, 0.1434426712356270117165735200615, 0.04404156075682172377661061091203, -0.039276273230297233107766174953213, -0.16640398570502654140845777419599, -0.016374479542302550899579571819231, -3.3859448194744143911805167590501, -0.0007683632066869535651859601799174, -3.3490380239395971528892914648168, 0.99117260180730015761696449771989, 0.0037303500739144287295934176995615, -0.82943395105448836090999975567684, 0.00048878399534322050905971179801668, 0.83404221517793053486400367546594, -0.14981803209952593292086930887308, 0.0090447205372881367413384623432648, 0.011023554454769036309302876475158, 0.057613786875968998890673589130529, 4.1256300259121498896774937747978, 1.3116784170911164331130294158356, 8.023628535745650935950834536925, 6.9506339329874649207762285496592e-06, 0.33318577402148674693194152496289, 0.041343973093233232773968666151632, 0.2268619059233447365908631354614, 1.8675418384163440244094545050757, 0.19321965432355150960042067254108, 0.0062598920972453805586233066549084, 0.16012726405919897043617083909339, 0.097903717252716890295793916720868 
 suboptimal , 0.33203, -1.3352718168136687992841871164273, -0.15254232769338563202587977229996, -0.018336804920708514587968096520854, -0.94859320619493514570308434485923, -0.00011871337545850236898890839309928, 3.440840314201383698389236087678, 1.2981881731691728987243550363928, 0.38106758649356586854395345653757, -4.1472745802184469710027769906446, 0.027178506354324838412139797583222, -0.86540004085584276705134243456996, -8.6259526213125283788940578233451, -0.098419204646657224011541131858394, -1.3471554001666210531595879729139, -6.5258251416790196081443853337589e-05, -0.098027928630157162848135499189084, -0.0002976584834368100219298414188529, 6.8029934087732764069755830860231, 0.58942191097636120744596155418549, 0.00032573709765750999672179188948462, -6.392443398363857554045353026595, -0.83438255891069612601995686418377, 0.061026146417058745041739342696019, 0.10113520286469615538926802855713, 0.00042600070320897596770279291966688, 0.022450188952110761153591056427103, 1.5254227180005448527566613847739, 1.0507314964972019738707718775408e-07, 0.042098096615675935361355897157409, 0.038573940484114492555089981351557, 0.58890247423205055454786815971602, 0.015181324590473629573827984984291, 4.1593838040566852722883277792762e-08, 5.2858435549806372932835074607283, 5.288948002335976666125252509574e-10, 4.6180169322836368550611041428056, 0.017580578875360779872449867866635 
 suboptimal , 0.22637, -6.4990634829098476998865407949779, -3.8366986754934857550836113659898, -0.039058565883856290190667692741044, -0.0019487603373914154890333971792415, -3.5103262254167234281913151372478e-05, 6.8632243629777116566970107669476, -6.7439222117468551331853632291313, 0.827492859926366230993721728737, 0.037288175251484853567340849167522, 0.015916813591292391927289884279162, -18.762527323842313364821166032925, -7.5718960903492460445818323933054, -0.021265956863059931603032737257308, -0.0011827979629359241121183687894813, -0.11947694592013374803585179506626, -0.12188142068018743835455808266488, -0.00083916530286836049732507314402596, 0.0027205929571642692606225910623152, 0.00076854069555625794622072399775448, -6.200172988852781230662003508769, 7.1975230205029294694440977764316, -0.13017129079750555664674038780504, 0.014445533037108722329566745656848, 0.038129185867985485036690818105853, 0.046480670782767276316693738635877, 2.6301433003808125654643390589627, 5.4476502714799766025066674046684, 0.00095108770636232570997586899252951, 3.6321998545808186983647330992042e-05, 4.5991675833248137905684416182339, 6.6056615971065517165384649994619e-08, 0.50133457388262925302768735491554, 0.028939035902897685542667360891755, 0.053707743458522014257106036438927, 8.2112209047684010394785834863196e-07, 0.085506849930068684617623375743278, 0.0065312491887512527308223830857514 
 suboptimal , 0.42448, -5.2267014051064411006564114359207, -0.0070154246286539805738113884103768, -0.010933664753842060879396314021506, -0.00027081732772233155096333612199544, -0.006710107142392996576463204405627, 0.50817007844436601349258353366167, 0.61090371231245055305691948888125, 0.86697152187237080944726130837807, 0.027942719600107256833210200852591, -1.0139880322292946779327849071706, -2.6630217869938803687546169385314, -0.013933834565955441342488541067723, -0.16840702346302677261391522733902, -0.00017050666617169420733249318722358, -0.00056675294055814255753805719351135, -0.20630491730373734515779915454914, 0.0021865814985681975186893044593717, 1.8000048158980288537378555702162, -0.00011984816707925511638198334818384, 0.00060957771670004103851253640655727, -0.80268112694621784886095383626525, -0.13756718225850836367918361702323, 0.0011118605972244286535927093595433, 0.0025761664279678789767069613247941, 0.00065046343791650047556213154464899, 0.029174702485657448558509230451818, 0.21174059502617839645388642111357, 0.00055758802700795211029077824704814, 0.20833579687294165316835403700679, 3.2676476364724207088544027932642e-05, 0.013136521885178768787039160770291, 0.014677323069029909324845206697319, 1.3229595201612490577088195042865e-05, 0.23196494426219060880356437337468, 2.4890843856986820951037939209094e-05, 0.00021553310953299480048732383874466, 0.0013952036133819891057517015298117 
 suboptimal , 0.23477, -0.0037436198520525453860285924889695, -3.8795955087816014206225645466475, -0.00012379737162662395846997320791871, -0.47078400559267286062947732716566, -0.043893005441512963904493460631784, 0.044309302686110385582907156276633, -0.02279827939066318004401878738463, 0.025824418773253077913354402994628, 0.10808720788126574552379111082701, 0.84457735005003398143230697314721, 0.00032226125043582215523585432492837, -3.5599936276452908145984110888094, -0.096691385866706502927314659245894, -0.011523251630054208438647123102783, -0.011491112222762034020262511546662, -0.00063073593189265093460899036514888, 0.74743986667560879944005591823952, 0.25302245477694884634445315896301, -0.8102262257285710589371774403844, 0.80942025097389869170427800781908, 0.00034365330211472144839035536278971, -2.685311169238456141528104126337, 0.016312507766191815250511609747264, 0.042731816629460690759589880372005, 0.036638977772845984781646677674871, 2.063563243244791234332069507218, 1.7395680643277779964250839839224, 0.0018126924711845920738795268079002, 9.7019287351158156284505924837891e-07, 0.39471350303210495091832399339182, 0.00021053804703869742295276046295527, 0.17820378168764514081878758133826, 0.0070884087787491624130242762191756, 1.2620624866456282371824943605576e-06, 1.29882909521446604584756862261e-08, 0.017418623951354551826486982690767, 0.0015942363743598605627105335713622 
 suboptimal , 0.44703, -1.1018168106972459074910375420586, -1.0625011709359630796001283670194, -0.3286211916681856526345484326157, -8.4240935463420145814291556396469e-06, -0.048466434689633505761285903190583, -0.1010696973880309962323664763062, 0.10861804914038318548019645959357, -0.052640912059231846631401907643522, 0.034933292271022063635310672680134, 1.0101592680358575382371100204182, -0.035706705982525933917859362054514, -0.59669820127471662196683155343635, -0.054420975923877748514634333787399, -6.9309823705887510056247551026853e-06, -0.5934815112024782735034023062326, -0.054680258301125224396077584287923, -1.7303319230318359167597463965649, -2.4039420946671667955740758770844, 0.00027737275205308485961919195972314, 2.6413746075270814195334878604626, 2.4926220374198684304190010152524, -0.54059339156509034207687136586173, 0.023495080322286619051164180405067, 0.033307260773873761938723703224241, 0.0059314983097314959853418869784036, 0.54191725430922499384678303613327, 0.0020311071430129160574062918698246, 0.17433811733280304978599417609075, 0.00022359593672464673228331144549941, 1.3633258907574954629272900863413e-08, 0.34287159712289044799504722504935, 1.6101470375984439087346800079104, 0.066710772103476423389167848654324, 0.010507479102849019356180626516561, 0.078660310516348350140525269580394, 0.040039642587330101508591440051532, 0.50932299055987650948651435101056 
 suboptimal , 0.35151, -5.8611965164412334061694309639279, -0.0083718795615143788702017246805553, -0.00071305300446075452463351451726226, -0.37961716891028601805757602960512, -2.6066129354695731420174867332129e-05, -0.044212048605975433346326752825917, 0.25603042771550343914555014634971, 0.0048323968137104706191409242421742, 0.76836512338714646475068548170384, 0.01498410068961497643158509163186, -0.034696379793048293116441982419929, -4.9385405635779235922200314234942, -0.094244449206462396761985189641564, -4.2835755322360240526791130832862, -0.00074223217643467102270365964855614, -2.2662476259662364338771239902215e-05, 1.8027446654308896256679872749373, 0.23594835174404801825254196501191, -1.039338863342013086210613437288, 0.00064406240165080467108965622813344, 1.7837654247208857213879973357962e-06, -4.4730784318258667298096042941324, 0.00037607763253860086814089891404933, 0.00044407339208166901351609867631964, 5.5926004600270020673553200696304e-05, 0.004588292423518207374666388886908, 0.47320575061667374816565256878675, 2.3543534948481172897061242110794, 0.011411389321557375425841840410612, 0.00073073523133368001140908187807099, 4.3591471637061524089663930477123e-08, 3.0180512637627261440798065450508, 1.4665717749529194602331472196965, 2.1573834699986447205333206511568, 2.4766502217339523284067581698764, 2.470480456898947352328832494095, 0.72309412316635446327239833408385 
 suboptimal , 0.33037, -9.11282456517387728922585665714, -4.028651218788586341190693929093, -0.00022525367408481901648070744315078, -0.13224530679997878457321291989501, -0.022685173958604788746473701621653, 0.59671127132293322326006546063581, -1.2517093669367846953122125341906, 0.03673760590145975363229879917526, 1.193780383560057334335624545929, 0.42448010615233444653426886361558, -0.56253419835522844305586431801203, -0.099417591478622807654730308968283, -0.00067544302579326440626183991611242, -0.082862748319706802657691468994017, -9.8210222194104392912095136125572, -0.087969790746134132741751443518297, 8.1175532191650230373625163338147, 0.00048560818763078124945392621825135, 9.999803722881866363536573771853, 0.16364417899565583680576708047738, -17.281486729230177701310822158121, -1.7225434835262611876771643437678, 0.00095531602032971967789626299705219, 0.0026046137914519031271443072483862, 0.083765435430502369062999434845551, 3.691201625803107955192672307021, 7.2837798390911911994294314354192, 0.086657529114846892914769682647602, 2.1515341938897925011531242489582, 0.27013372139082081346828090318013, 0.8762726935589566501505487394752, 0.01665644649409394814632001668997, 9.342346447343717261158069220528e-05, 0.20643194250425381253144507809338, 6.1719640987219011356778794463729e-06, 3.0218479043945470374922914261195e-07, 0.037839757909526774981578967071982 
 suboptimal , 0.42264, -3.8282019434274459079858843324473, -1.7601388973702158935452644072939, -0.032770635849499706038212565317735, -0.01290486401195309502931696243877, -8.0808860569133250336716633999146e-05, -0.19740854157209747343770800398488, 0.42031157650873851583384066543658, 0.68781485101782491309307943083695, 0.063162179337714008386939212869038, 0.026119934707819980612697463584482, -0.0074443324043435210243813138220048, -0.15151070740558753024984639523609, -2.1103808881275094577745221613441, -8.4822846321106412106026473107789e-05, -0.028418416627918746675263150791579, -0.0036150190764790354758240198407293, 0.3200492529520358453432038459141, 0.65533859658579141083123431599233, 0.00012512281642790986876424830231969, 0.02905551066129887644029494708775, -0.0045684830155539868368208544779918, -1.4323141452736820600222245047917, 0.0080241521783643646181793940286298, 0.021239115643499895114132414164487, 0.00031042198241715041225063931307204, 0.018011167294509296959992283859719, 2.0623367243730350573116538726026, 2.432144780993738653052105291863, 0.012460928343420978742228655278268, 0.26649241292162317851222042008885, 0.046433604469365015454673795147755, 0.76859517143642119840762916282983, 0.00049146820892998670585183340620006, 0.14974192779654788010290644706402, 0.0034576481326917402059351047682867, 4.0441076228650624159888932185325e-05, 0.0035754874220022036038213464337332 
 suboptimal , 0.42836, -1.2447156492468958166597303716117, -1.7192393538143546649621384858619, -0.066011176864981382927943798222259, -0.00010834787395386558691949552279965, -0.018922273634128291414091549427212, -3.1428756333123168964505111944163, 2.9703592763184643033014253887814, 0.81445984851360109235685058592935, 0.027215329893596918592324485075551, 0.33084117858665412770236002870661, -1.2547987475370858678758168025524, -1.5978618386522214223077753558755, -0.10649024259996159313956809455703, -0.00013585659914880273682266653700879, -0.00072011416036896083812252067346549, -0.1062728287277685257361525827946, 0.6070595954836177643443306806148, 9.8195066436084328387323694187216, -0.0078058086273310499716981958329143, 0.010260802850622719253892434210229, -9.4290212333153409218766682897694, -1.0136365759809260467250169313047, 0.020888154774976474409298177192795, 0.051276670394885814907581789157121, 0.00043803935470318445220827552333276, 0.023765905669728099730564352398687, 1.6339903124755914554100399982417, 0.0022334190355965161285667353041617, 0.83255414808928340786309263421572, 0.038102336030323771809413813116407, 0.34432613985397253486553381662816, 0.016992494079377664512042755973198, 0.12215012343970801933501491021161, 0.007931215036351331806874220831105, 7.9892045174557582187574358151272e-07, 0.0065319077772874722248586110140423, 0.0055644693795627265739400790778291 
