type, OBJ, lambda1no,lambda2no,lambda3no,lambda4no,lambda5no,A1no,A2no,A3no,A4no,A5no,S1no,lambda1hi,lambda2hi,lambda3hi,lambda4hi,lambda5hi,A1hi,A2hi,A3hi,A4hi,A5hi,S1hi,k1,k2, k3, k4, k5, k6no, k7no, k8no, k10no, k6hi, k7hi, k8hi, k10hi 
 optimal , 0.089068, -8.9240965295535978896168671781197, -8.9227909622404588674271508352831, -0.018901889657985771614479020286126, -0.077757830055683901937513269331248, -5.4983288958243555042283007283643e-05, -2.1765962493295250013147779100109, 2.1749140710375387541830605186988, 0.36406833635234064905361606179213, 0.61423610248501225861161856300896, 0.023377739454633283955331535253208, -0.036793113200158662767780270996809, -9.9869544976003066238945393706672, -0.0014305000746622064528024154128616, -0.38414833940318027227789343669428, -5.7095000328577275006645963539853e-05, -0.081455789522057037155278180762252, -0.037858597626910760192142646474167, 0.00076854588215669213113745428245238, 0.90597519558171957232417526029167, 1.9891539397973328654823169103771e-05, 0.13109496462363656732463823573198, 0.019383680533293971837149882730955, 0.022931506712264633496278776192412, 0.059166040479136844387753058072121, 0.00020443364697948917412841096652443, 0.011220354292615836167001930334663, 9.9999999999999786837179271969944, 2.3048550216049658461743541234028e-14, 7.5819439592428174989890976576135, 0.34276962552214423896046469053545, 0.018123207829656633877091209683385, 0.012516013054173130703006222574913, 0.0014903720903911756717752368217589, 2.2204460492503130808472633361816e-14, 0.36498610498266537138789544769679 
 suboptimal , 0.20679, -0.00014053122136801913036330269335394, -0.045340673315612020632947576359584, -0.057015555243073001712161840259796, -9.999999999999973354647408996243, -0.051537999191271485766030480135669, 0.032843645030106921600676628258952, 9.999999999999973354647408996243, 9.999999999999973354647408996243, 0.084037431199819420668539748930925, -19.116881076229876867955681518652, -0.87869541169622134013650338602019, -9.5029967593048230156682620872743, -0.23672566518684140524086956247629, -0.00021859134841521144442498536530906, -0.045881919226432060776588173212076, -0.045898402234718242709288205105622, -0.0082122825219456078299495871419822, 0.96871979056364676541335256843013, 0.00032514689358285626258338041338902, -9.999999999999973354647408996243, 10.039167345064688774414207728114, -0.15324216232369824997050500314799, 0.020976427364779413886619607865214, 0.053441280943681369886011367498213, 0.00073521356032869823130676545375195, 0.03996869846055167707632449491939, 9.4778957906924148346661240793765, 2.6327548044000325852440811753449e-14, 0.076364712585785726739473489033116, 0.32722956243077921945072716880532, 0.017773830929777086062859581261364, 0.084096599706924041184308293850336, 0.089205476669440716963599413702468, 2.4253720003176553538969173856492e-14, 0.07499181192238227322555133014248 
 suboptimal , 0.34085, -9.8699590027171169026587449479848, -0.076621914297313020725255228171591, -0.05717921485409741683136886081229, -8.9703387641755174541913220309652, -0.0001872680290207779513211860944466, 8.9542476554263021881752138142474, -3.0198408751324907761670601757942, 3.5967968585563396821669357450446, -8.5716128370457767005063942633569, 0.04040919819562560633130487985909, -11.462069954564180207512436027173, -9.296300488467688083460416237358, -7.740456058897269286944720079191, -0.073668293559478126297790367971174, -0.15875025972832376708332446924032, -0.00049759140679312828959429682029736, 3.8288179106610136237520691793179, -3.9069612498113657217402305832366, 0.067118761813928617954161381931044, 1.0105748010450990026498629958951, 0.00044977629132447738413702609250322, -5.5175536957468676035887256148271, 0.00071851158426804043535818244947677, 0.0027664528689114046069996710741634, 0.21284180029230237440884820898646, 6.9324093518738054697791994840372, 9.9999995974132094289643646334298, 1.1102913205303515109534373550559, 1.6657407773694186126078875531675, 0.66734468286908643630539472724195, 0.031710329377309033616061384464047, 2.1374267858855815482854723086348, 3.3662088041176110309038449486252, 9.2351771222700775849972021893934e-13, 0.075628861282614021077641552892601 
 suboptimal , 0.37608, -5.4114261653703268351023325521965, -3.6386956140216986099744644889142, -0.055387855155595050460348716114822, -0.9287526291190596472446827647218, -0.00010522426835873762384059720842444, 1.7630333163014557662506831547944, -2.0858468732985984139816082461039, 1.5448118794310408130598943898804, -0.26442271224416730168726985539251, 0.042424389810269136358300556821632, -1.7907477403612173105784677318297, -1.6494674803693611941923791164299, -0.11376716322114580060009814133082, -5.2259071210976564111818504221318e-05, -0.00014042777168123601731243577095398, -1.8064551438730738208704451608355, 9.6414700546350378118631851975806, 0.32856789917842660342373051207687, -0.00067458469325646047524969173281306, 0.0011157078189462236224999136524616, -8.9704790769391564708712394349277, 0.26409639422876374226234474917874, 0.28900886082620430572731606844172, 0.91724717514420961439469692777493, 0.038733824581710138423851219613425, 2.2135930579014035934903859015321, 0.02617545102356690425726704063436, 3.742889484488230777969874907285, 0.11136285096533837801757726992946, 0.00054530631931494120100134548323467, 3.1051012332054122033753174036974, 0.11653348282706089966698215221186, 0.002145959062580493105498735673109, 0.00044969463472563993462760567609848, 0.0038352941372197355170137189617208 
 suboptimal , 0.098298, -9.5722809347549997482929029501975, -8.2830317428515267633853946804834e-05, -0.03096059689588182700648033573998, -1.1965704280767572864618841776974, -0.0082180461381325016489984847112282, -0.012617524948248727556521231463194, 0.026651355778480489977511069810134, 0.9006127853033352170797343205777, 0.080900284475120612381893181463965, 0.0044530993913124844452156025909062, -0.0039467072415781036948123627894347, -0.16693425366891384564738132212369, -7.1529912816523317786732150125317, -0.0083120195351961533719586938673274, -8.4902756746958168835616442837733e-05, -0.0083103694993158661735721537411337, 1.017883556124264288200720329769, -0.019061286284650220262948394633895, -9.9999999999995701216448651393875, 0.00011094670142013744458357737965315, 10.001066783458535169870629033539, -0.033566791577879534491657409489562, 0.003561771146268759291597660876505, 0.009305469662592382243393451801694, 0.00031501430955614858047536541718614, 0.01767611663716793513057012887657, 7.4304303844350201302404457237571, 1.2960900836549011927445462788455, 0.21043687220324727715770052327571, 1.798969345167416911124291800661, 0.13911993721754967179293771550874, 0.023795348796321193901581736440676, 0.0065163323042715486088649612383961, 1.31437873950844206437167867882e-09, 0.12762598887524623236799925507512 
 suboptimal , 0.40303, -4.0461760343934560779644016292877, -0.0017595724172011150635702714239983, -0.052856766328160921519785375721767, -1.0659552177468147871053361086524, -0.00015337880346551313712373521003229, 0.95772725076570330848824141867226, 0.031362021372237661176463063839037, 1.2269876022970263029776560870232, -1.2432604075881541483283854176989, 0.027183533153186889563812655978836, -2.6147870811548035163696113158949, -0.62891518266418855453991909598699, -0.12835439435798509655306531840324, -0.00014041928338500025172201624013013, -0.38904472605316131605945884075481, -0.00014071743095140051599441222140996, 5.2610064356540702235065509739798, 0.80039702915331456534175913475337, -1.2808285380475636916486337213428, -5.0621666674778182937188830692321, 1.2815917407179968634522992942948, -1.4420525442872336174815472986666, 0.018898919618816414911499634854408, 0.050874091874624487175093889845812, 0.012178430897404486296653480792429, 0.70823627262031485507520756073063, 0.052449152499013329542520978066023, 2.8964590136152783550471667695092, 0.0030634205669919250571153757078946, 0.012271523806114360485852721183164, 1.9163518986698233614873743135831, 0.39350444623910074692929583761725, 0.0083068138196704787573620976104394, 0.0019944792950187984099941207460915, 0.0049975399368055129986632145744352 
 suboptimal , 0.36256, -0.89654737002901840892121754222899, -0.058787762270918496321225887868422, -0.00026883630163228311449330476534669, -0.046717604369403684105854779318179, -0.73756237350422093612678509089164, 8.0618827963202157604882813757285, -0.96563053389272879289961792892427, 0.043834797225038593659895980181318, 1.9396681692431305688018028376973, -8.0797552288956548949272473691963, -1.3023975508210288154486988787539, -2.7014080477177304651092981657712, -0.12622897290802120862096558084886, -0.0013299162742763125967526693926857, -0.01059142947268955359252373682466, -0.010593115249410155892517693132504, 0.45502021795151909033805281978857, 0.54250003132154644980289504019311, 0.00091081795846211953057713905934634, -6.8338289620879422159305249806494, 6.8353978948564142470445403887425, -1.2977038519118353487868944284855, 0.051054723638276337804864368763447, 0.14236293058845853054528163283976, 0.0040219076913391082692128541964394, 0.19055358144615022752965671770653, 1.4394024448925080150729627348483, 0.00052833337695598375956251846474743, 0.19515836049806570273723593800241, 0.04132411758890684044809304964474, 0.010588091804931606607076410853097, 2.2492457837422119117030606434563e-09, 0.020869111905915629923136123125005, 0.00012202041172623258953773561774625, 0.0062228441788660347755435253702672 
 suboptimal , 0.31106, -1.9182343903550616026620900811395, -8.3487078745088109314569091434777e-05, -0.0021992222120515831328135814004554, -1.016083014441534704275227340986, -0.065481015840586284659785576423019, 4.6632316813797549670539410726633, 0.019595718271815755484599463898121, 0.051938819891751468460494578494036, -5.5748377019781134578124692779966, 1.8400714824347912390578585473122, -3.401279095052436307611287702457, -4.890295863468867132439754641382, -0.0020946376377554737531483386447917, -0.00042762832641971319173196386387303, -6.0222724794194082420517588616349, -0.11264256827710887598481548366181, -6.0154063125353882668377991649322, 0.00084600624625834190163653492078311, 0.00012832345601361847898039258986103, 6.6575619139455781692049640696496, 0.35687006888753813882431131787598, -10.716735875160930291372096689884, 0.034898574305551662011470881452624, 0.091302223243830152310529513215442, 0.048388429477254545074682567928903, 2.5949904402923156254701098077931, 0.46348032209848927243101002204639, 0.0017608169160440562649172502318606, 9.0318657170917779710740680432224e-05, 1.1179993036491533900113034064039e-07, 0.33955331218227602363413097918965, 5.5502693504169036131656866928097, 0.003465167732775773987152767574571, 1.8096573554186394794385250861524, 1.0463651048790487685380412585801 
 suboptimal , 0.27189, -0.61383361834467020656802560552023, -2.5186237932432375063399737635805e-05, -0.0011037220037913031151638465487963, -0.5216734638140837487796375171456, -0.032223123941321388241654233297595, 9.996921175085111244129620899912, 0.014520051422710525401704728665209, 0.022577527234843249026585709771098, -9.9141165823178010185756647842936, 0.88009782857513663145709870150313, -0.99289954548430736647190997246071, -1.6083788630369211247739258396905, -1.6998935576274980530087077568169, -0.001676865884341652681091550114445, -0.15077653167436708137039147459291, -1.3230682373276452136153396351836e-08, 1.3467487661270074461583590164082, -1.0793788181765107125897884543519, 0.0010440828582642253108403451733466, 0.7315708697806890814518965271418, 1.509941055000130205598907195963e-05, -0.44155861920855715707645572365436, 0.081979571002640000410011111853237, 0.2160847334859718471555822816299, 0.0083252771717363411446699572593388, 0.45973049052025000138499422064342, 0.49634990877156204280851170551614, 2.3117494189129569090012522591948e-05, 2.5115990016384308119654078517158e-05, 0.00039929458942983546854837983985931, 0.033725934887443520526772999801324, 1.1427926758157203046550876024412, 0.0019341330450009393791821477037729, 1.0619408225919344523902054788778, 1.3961410233350845304877395347543e-05 
 suboptimal , 0.42655, -0.80171807068132983076225173135754, -0.020690322476062165957255700732276, -0.10808011455192126359925453016331, -0.34744487156761733048782048172143, -5.9620266172021681074649768206086e-05, 5.0222911540955834652777411974967, 0.32562359179522265550943416201335, 2.0689995878762084124957709718728, -6.4416531117488622371070050576236, 0.024738777981847981379814882529899, -2.0186986808848179641984188492643, -0.28647297208075878094390986916551, -0.31179959206861568299373743684555, -8.1421630676103103128708748936759e-05, -0.11874218398116699602073964570081, -8.4094920186608752734995497757353e-05, 1.4332211492298261301669981548912, -0.73259079266680671160827387211611, -0.068550113177952592957709043730574, 0.29882347885544141563585185394913, 0.069096277759491731007557291377452, -0.21764079365024546763862645093468, 0.0008998476741720855135234224952967, 0.085933402809812861611327150512807, 0.0070077034124696102254659102470669, 0.013591365932065422456043179977314, 0.31439909015743022768774039832351, 0.66085480953585107322112435213057, 0.18367995109258189456724608135119, 3.1815809633070335991076368203911e-06, 0.068253367537134304599000245161733, 0.21715535492569032482990110111132, 0.063928713543421333831417996407254, 0.001657432874595850518656403593809, 0.00028961627352444460322192232304417 
