type, OBJ, lambda1no,lambda2no,lambda3no,lambda4no,lambda5no,A1no,A2no,A3no,A4no,A5no,S1no,lambda1hi,lambda2hi,lambda3hi,lambda4hi,lambda5hi,A1hi,A2hi,A3hi,A4hi,A5hi,S1hi,k1,k2, k3, k4, k5, k6no, k9no, k10no, k6hi, k9hi, k10hi 
 optimal , 0.031542, -3.1011674819562413674134404573124, -3.7289261515532016305878720840994e-05, -3.2419465118934045477772087906487, -0.14153489307839350885842577554286, -0.0072296278839068884095042655246743, 2.940610931034118191718107482302, 0.017217550878159279537094050738233, -2.8205405391605129494791981414892, 0.65631822343556645016349193610949, 0.20639383381266895867156563326716, -0.069670156047816997335608846242394, -4.0940430108614007664868950087111, -4.0838141784847315342386192549284e-05, -0.0013172752416331446126407378471868, -0.38434687992167193559822635506862, -0.068953582184030040580502429747867, -0.10832903601466616072546145232991, 1.5878728617325944263375531173565e-05, 0.00071137842297095538451195961826556, 1.018637053846299878046011144761, 0.088964725016778212207668730115984, 0.045858385143201625677722432783412, 4.0747471020582205812957110602213e-05, 0.00011887391623190867373169310461378, 0.061235643507098286297818390266912, 0.097079203312340739406849365877861, 3.8525103472470432208751844882499, 1.9881935010369164995580604227143, 0.11533197165570731324013564744746, 0.34660807726289599717262035483145, 2.2280589660686048944991616379228e-14, 0.0014054095750319791063159824417994, 0.43182449986800502950146096736717 
 suboptimal , 0.13218, -0.57780408895324175677643552262452, -0.0036230302108926589789439365318913, -0.50902237246535886328047126880847, -0.034149824100321218844911186351965, -0.00018049860914611066064171251976944, -4.2500605632501979869175556814298, 0.018350584418706024358858286404939, 4.5723249430015364680457423673943, 0.6259035593274066000546440591279, 0.033481476502548734863751178636448, 0.10683965703922991552499155432088, -2.3003574307552998590153947588988, -2.2518055487438908279784754995489, -0.00033813567972361906590131330752058, -0.066652644692741541687652784275997, -0.066790664454967230145854273359873, -9.1572685809330174322440143441781, 9.9999999615317634038547112140805, 0.00038634017956701283396520052448864, -9.9999892928377995815480971941724, 10.156871572059486652506166137755, -1.4649231736948964410771623079199, 0.012907030811193103900236245351607, 0.036103680910565989770066863684406, 0.0011438694490485110978605920450946, 3.2870974539284707366425860447512e-06, 0.8574243380330371921971277515695, 0.025799259735287530248548648614815, 0.0024027208073818498608453797515949, 0.24200008015337512445874779132282, 0.00021458308642218333573900568289616, 4.9861993902607295581219659652561, 0.11285906039827610369830068748342 
 suboptimal , 0.1335, -2.8092714068588429121575700264657, -6.1929179158159512948403249525675e-08, -2.8307770172799711083655438415008, -0.21810799976744973949216443998012, -0.030491649944463877774936122477811, 7.0158038584629567324668641958851, 0.02277846670810026313835905398264, -6.8050342107674008929052433813922, -0.015534646906660251261533822741967, 0.78198653250300409478512619898538, -0.4662185603227367858281127155351, -0.18773276834001914603611282927886, -0.007329804723000796912169008123783, -4.5229013927944938799896590353455, -0.18517831760181152622735112345254, -0.00057873115418268644694066438205482, -0.53345847542614321934451027118484, 0.0024727092387466348931412962741661, -0.070872166569613564979235320606676, 1.6015576373921296404745362451649, 0.00030029536488052066545151319587603, 0.12410341017351789183464916277444, 0.012300440546714898337743449019399, 0.034844933893880644659724055145489, 0.065685932113783901398207376587379, 0.10595046108716596466869930281973, 3.56889364396187991346209855692, 2.1427732480391141756115302996477, 0.12728132542487660683327987953817, 8.9171857078565797192874764487414e-06, 3.9967982640911162147388422550137e-14, 0.00058591731382404274239283914482712, 0.39518111085932255965857962110022 
 suboptimal , 0.15731, -4.1211430617174169555028129252605, -0.074540047267877079795184158683696, -0.00017031817615194584495698360004923, -0.13521486934659779355349940033193, -0.10448700620746861900123292343778, 0.30964765511371400430462585973146, 9.9999999999999573674358543939888, 0.041135807619271866353294342388836, 9.9999999999999573674358543939888, -19.350783462732898954072879860178, -1.3517530259794652280902482743841, -3.4825058845644289995391318370821, -0.00092670366736434398383104316110348, -1.8421466063508680521040167255009e-05, -0.32545783083352441966695778319263, -0.05614425578436448016628190771371, -0.11160176904009151688246248568248, 0.00056689068340827865940395602351032, 6.3878692723875046471991405450108e-06, 1.0564991637477370023390221831505, 0.054529326739673811275110892893281, 0.041745857373577298365940890789716, 0.0010145545772841297639532687213659, 0.0030178101635248144596346264734166, 0.045705054112563481272246690423344, 0.065896014349141635024764696026978, 3.211327161762179027704178224667, 0.11263282480315149614025216351365, 0.21149411595763378812762312008999, 0.025466230891998131030673491181915, 4.3021141326740550324587011690038e-14, 1.8888484469860665059415955058242e-05, 0.38641119451863592537677050131606 
 suboptimal , 0.056551, -2.1508655995475116640136548085138, -0.035842207645872564691913453316374, -0.00014273211607084817912662055849893, -0.035203500357339781445809023807669, -0.068843789799431995279910267981904, -0.010632409633605174187342967684344, -8.6056622295504965336476743686944, 0.03263847105597353359662804450636, 9.1477548928562200103442592080683, 0.4359012752719078065410940325819, -0.020731930282672908494312480343069, -2.1232500144814716591668002365623, -0.061938825106625280958461132740922, -0.00019258414681521692337143325524096, -0.31350144182881717336286442332494, -0.061931298530218073516984134130325, -0.16419656834610321660683496247657, 9.9997624119941423970203686621971, 0.00032428087367447150585544890510903, 1.0904009098709444014474456707831, -9.9262910343926566980599091039039, 0.0021626044558091805924959771800786, 0.016022358363901773731230449016039, 0.044744652676522708723005905540049, 0.00067144016048536743577340724087321, 4.3709692849061465497181931498527e-08, 2.1562638730635508288457913295133, 0.0013295684365241800233697899713547, 0.054848291531372932172683221097031, 0.022251690975013158069195640109683, 0.00012708472655916603971312794918447, 0.06838250850522983870227733405045, 0.29367477165029415298036497006251 
 suboptimal , 0.053831, -0.0029075951110473217432750292488208, -1.2111231985114183640206420022878, -0.039730007254575441799637758322206, -0.0015074379071026327344545725495095, -7.377134972378086830678556307106e-05, 0.035419335695767988070326026672774, -0.032690217799787368857522551479633, 0.97936502296908067854985802114243, -0.0037503731150619616825647728575177, 0.021656232250000767569630966136174, 0.00058277243208520871416838948775307, -1.2471107209676632887607183874934, -0.16998632800770815953761427863355, -7.918410646342990218040508443309e-05, -0.17088698357090864599072688179149, -0.0030208442904650196179916488148365, -0.14836102820664101575864890492085, 1.8237425561602784718218117632205, 6.0402000734613374541455421695701e-05, -0.67696378972298310028321566278464, 0.0015218597686109669453458081989083, -0.0093089735745691872675910971679514, 0.00073151751014665462521935346273949, 0.0020416628506910385228156901149532, 0.00032337116758578544981755920062483, 0.00044713806876549554982988587958914, 1.2104135259592738727008054411272, 0.0010673971791636516735779505182791, 0.0014356804351235671109859870497871, 0.038383294332911460644552903431759, 1.1303969899912188333793470551916e-09, 0.18195417987941983617439234421909, 0.16538013065731130279978344788105 
 suboptimal , 0.15678, -0.05387848732729413891995307039906, -3.6455773276552556616536548972363, -3.3314881281229391518650118086953, -0.00013995314060509010472242719114178, -0.026818563285072496982230916273693, 0.35427600552946308942736663993855, 9.9999999999999591437926937942393, -9.8813042333911464965012783068232, 0.031860986927985120165107701950546, 0.4951672409337386504546429932816, -3.5686975209460078950485240056878, -0.3444618012568083087465709013486, -2.4203703879453839498125944373896, -0.066170264513138302153727465793054, -0.00018644602043117966690653763972563, -0.06617420373375035302920821322914, 1.0702151822298375805075920652598, -0.15784756855917553286516863408906, -9.9999999940911479257010796573013, 0.00032509419918429302998746921460338, 10.08730728622130179417126782937, 0.0075843879910543199329708841105457, 0.01604568565811432048762164015443, 0.04477477993504216935427564294514, 0.00064837730027506555730010262550422, 1.5528733332906782303872044760651e-08, 2.4400915927993560572417663934175, 0.0012460909485385437620030835148555, 4.8203655213118246081194229191169, 0.021282796820804347759370500625664, 0.00012279747852208982889128663362754, 0.077893422300437720195986912585795, 0.32646903323120635143084200535668 
 suboptimal , 0.10698, -0.0033152117569113371924049982197857, -1.3433556835359953242022869324135e-05, -0.040525299947262366506706143809424, -0.00027295100906048506495329974974595, -0.72918983664472447614457450981718, 0.033655029529346874861417404645181, 0.010304065531685030476793940579228, 0.99285375765968231220881534682121, 0.012470612233237405794272767423081, -0.049283464953951625076022935445508, -0.0044138104098846928091681718342443, -0.16248625341618466721982372291677, -0.0013101750549505573537056868360651, -8.6110144998180793997864801436748e-05, -0.0013081233278646291207092389186073, -0.73110669294704133669426937558455, 1.1857718632363196675783001410309, 0.16882320347058105136639483134786, 3.4569878692594374223947401025825e-05, -0.16780166253282799426749249960267, -0.1868279740527653276505049007028, -0.056082130861372814223386740195565, 0.00047273396260459518399346667827388, 0.0011287319923169625464354215438334, 0.0023075111100487343852860622206435, 0.1465752229583254517830681606938, 0.5769774048135651867141859838739, 1.7118207715516835779783269555487e-05, 1.3446678248640930579296641489417e-05, 0.042454531840417884802629799878559, 0.027210897369739531909127450148844, 0.00022551389753724463403151967444416, 0.12465687342427782258180712915419 
 suboptimal , 0.044882, -2.2674891571891722108489375386853, -0.025439289506316114380934934047218, -0.00016103038029686235531670601694998, -1.3202716752962790902614642618573, -0.02503167528763044699657847047547, -0.29937080620512690476431316710659, 9.9999999999999573674358543939888, 0.034774923452298350801115134345309, 0.50884994535011740524055312562268, -9.2442540625972462464687851024792, -0.015999441683728909957551422849065, -2.6498885091422073045919205469545, -0.024151396217881149208750457546557, -0.097569537802818198657384130001446, -0.00039569515471396207208221174056462, -0.38907712898100421661240488901967, -0.15790435116056655839855693557183, 0.0046486467092527660946443823775098, 0.16263653484970236329232307070924, 0.00036044323328659572070950534161682, 0.99025872636832501516579441158683, 0.01716111801083708421344908856554, 0.00035484613740329097207257258439483, 0.0010031439572735206117171102846441, 0.027196301416583808230331698041482, 0.038748215327565338483850609918591, 2.6993310047004994700614588509779, 0.59483220835019745553751135958009, 0.052932639117956530039332818660114, 0.2414672919223017355516702764362, 2.8355979266971141592995933955669e-14, 0.097644398202135412878632791944256, 0.35360144369573626166314284091641 
 suboptimal , 0.07689, -0.062916307136448024195374273404013, -0.032409270487316232944863259035628, -0.74757892827138883173887506927713, -0.00016643850788345407798116126762977, -0.75220051930653542004989731140085, 0.20264840274954881715885335324856, 0.741590702886686492512069435179, 4.2718855661860537509255664190277, 0.034720135419987120661833301937804, -4.2508448072422764241196091461461, -0.032874043364623073415486942394637, -0.0013345723007460006011293263128437, -0.95389285309205906759899562530336, -1.4933058536902217294795036650612, -0.089343553931036878701377190736821, -0.0013348730730158840131205355561406, 1.4652778932455652327604411766515, 2.5784690567316519427265575359343, -1.7796000489101484465237490439904, 0.20051613401546181103540789081308, -1.4646630350825307065321112531819, 0.17998876105348238230163815387641, 0.0083376692309730139618384470168166, 0.024648959560794575507358672439295, 0.026113247260117732062578710383605, 0.029989221915429433579225459993722, 1.558098221122321991316539424588, 0.26460206901596960982203654566547, 0.058968012682488482600895451923861, 0.010400313354491574555082955555463, 0.0024067498818711036134843084255408, 0.00067051989059812135487992357241183, 0.97554742918714865140827896539122 
