type, OBJ, lambda1no,lambda2no,lambda3no,lambda4no,lambda5no,A1no,A2no,A3no,A4no,A5no,S1no,lambda1hi,lambda2hi,lambda3hi,lambda4hi,lambda5hi,A1hi,A2hi,A3hi,A4hi,A5hi,S1hi,k1,k2, k3, k4, k5, k6no, k9no, k10no, k6hi, k9hi, k10hi 
 optimal , 0.08949, -9.1288926727160042418063312652521, -0.018630632970899934502950756609607, -0.0740857303611168194201752612571, -5.4447382590539357112915941350195e-05, -3.2922747782632892921128586749546, -0.021838375803807340280737747661988, 0.35640751991334396198141121203662, 0.59348549317762544497156795841875, 0.023241088156039282214271324278343, 0.048704274556798737849661051768635, -0.01159783518634849297512801058474, -9.4438708072171024809904338326305, -0.0013614047435612335046339893551703, -5.6106938484201234742729247351178e-05, -0.37856918831030439420715083542746, -0.07973909535452679275824294791164, -0.039207437620154356183732602403325, 0.0007437737946486649943597657674843, 1.7895370108135484821980723535439e-05, 0.91368096426441902657700211420888, 0.12476480419097835117270278715296, 0.014428868351104065168022394516356, 0.022492609878710070198115644757308, 0.057986808782767643166700111123646, 0.00020175157725648297079440451895493, 0.011136010864211043011606783181833, 9.9999972774472887238061957759783, 2.3249848731359787912253977992805, 0.39899103973383187593526599812321, 0.12489158058912057380762661296103, 0.011353729528808847309973018013807, 0.0014162225728180334247130467417719, 0.33870007724318801356488961573632 
 suboptimal , 0.2903, -9.8223383876720955498740295297466, -0.11151229913796650849988623122044, -1.8330027709079147557545336525396e-08, -9.7648943106965688798482005950063, -0.021733753350878837889981198827627, 8.3435414865790793470523567521013, 0.46999592365253889392207042874361, 0.020428232944362131190407794179009, -8.3266743858315326320962412864901, 0.49270874265555164583929581567645, -0.70711123222432203938581096736016, -9.0221222774781537623312033247203, -0.11199378455102708407320477590474, -7.904908242006701613036057096906, -0.0033252820980672012120271663349058, -0.0004124620435528303916995762623543, -1.4934506496789099472266570955981, 0.32533419062778573538352588911948, 2.1668552147551807252057187724859, 0.0010909771188991111787874865868275, 0.00017026717704431994747371614806752, -3.6911363748587975308623754244763, 0.029145587824147580618960873266587, 0.076697279482656338656099137551792, 0.17092670557473027548311961254512, 9.8905182375806148797892092261463, 0.63127030729210642512327922304394, 8.9297501639021064079315692652017, 0.021612823748067326590227565930036, 6.2697173901095346374399974731517e-05, 3.9508614887414217342609390470898, 0.0013104091321805397436783824360873, 2.6356616725919193022775743884267 
 suboptimal , 0.39894, -0.096896698836525144149511845625966, -0.57583845689951318469468333205441, -0.0084317628832098704544373291014381, -0.00011855628715943726883292469453934, -0.015411529567416239194788118993529, -0.11542292314903974947970510811501, -0.030149918292420196941350241104374, -2.4112121407180686638582756131655, 0.029609281650375147282305832163729, 3.5271757005091535219776233134326, -0.0054863312843576594879380081692943, -0.085061079664387209686715607404039, -0.84321193359833734870534271976794, -5.5979922811729794516127445627718e-07, -0.9549239555325507167182763623714, -0.000244137677437001714966444132493, 0.18239646268532014317109712919773, 2.122824709853705194007034151582, -6.75430442012630791182026257502e-05, -1.3056063487120443955546988945571, 0.00045271921722034313972926611313596, -0.5587512999365422672326531028375, 0.026104330244961778534351637404143, 0.068666628996701215004172524913884, 0.00050369423576746897609768272019437, 0.029494775964212825020149821853011, 0.54339786236636833383073508230154, 1.4907292681615434240299973567279e-05, 0.0068433596643547554838615809558178, 0.018279523841390175192822553640326, 1.2986812578693140984853471309179, 0.0018798022114942831029688052879578, 0.00069683274269717826541331584522254 
 suboptimal , 0.31433, -9.9998699622158468969246314372867, -0.53913079098779648212769188830862, -0.00027209620911136954196293813446061, -0.45423903455830055841957459961122, -0.49672141213405429649441202855087, -0.00022028362050355041541933875937076, -9.8805094982299834782679681666195, 0.12778309258850031882026598850643, -9.9985724321608380193993070861325, 20.751519121422823843658989062533, -0.4369270539660696783812454668805, -0.15416203276537715494143299110874, -9.9999914801115661333597017801367, -0.11333873359455431950593151668727, -0.13137052928854067723740683959477, -0.00083196091007834208335552927948697, 5.9140453582056249359766297857277, 0.025979391244610100519807360797131, 3.4826339160702906028177494590636, -8.4232478236008336835993759450503, 0.00058915808030768346270633628591895, -0.45966622825456110446040725037165, 0.10107848300206688507696384249357, 0.25246529386880173229101842480304, 0.1165694619799440417962088645254, 6.1786202508183176718148388317786, 2.1729230588874006713240305543877, 0.069026602858908020499129065683519, 1.6004217247861325379432173576788, 0.0088389761654422832615196625738463, 0.0052403946609652207050400463117512, 0.16131109473038277024592446196039, 0.0045137890811350264708146085013141 
 suboptimal , 0.11168, -9.9999983288561065108979164506309, -2.2248817520931130076178305898793, -0.0001635627282273773160873459042719, -0.019507364162197195905923408076887, -0.018692883922163051196863037262119, -0.0089511154801507532979831793795711, 0.034805002206256409336138091248358, 0.041120923069439728469998129867236, 9.9999999999999609201495331944898, -9.066974809795507184162488556467, -0.013518334275006704814359181909822, -0.018218277204138204339312068213985, -0.018269826652098829222747866651844, -9.2025532534793956784824331407435, -0.00036698176066357759235112001583445, -0.14846276881852260576266644420684, 1.402298749196374316738911147695, -1.4030232198976690938252431806177, -0.0057264979917106923965053333347441, 0.00027907250546909236413317678682233, 1.0061718961875363298474894691026, -0.096595241624719552220312834833749, 0.0003707705592741072529380796929388, 0.00097139579678993687866794815022331, 0.011157100082010436292723198903332, 0.55982952758113690983066135231638, 9.9793694671336652390891686081886, 1.4185210758751687354362047699396, 0.47779424643704160313717466124217, 0.072533807833744648463358828394121, 3.3792669355267629185890248944971e-14, 0.084606892772526517965125947284832, 0.045624778127959224327536702503494 
 suboptimal , 0.32932, -4.7089016878778151564688414509874, -0.08712623681059936120441022922023, -0.0033003347060818898246747910008025, -1.5456874822200012964401594217634, -0.0031806113942102953381918517550275, 1.7920085577679873978240721044131, 1.2243741516957391546327471587574, 0.87286062294365884817182177357608, -2.1993425844546443670424196170643, -0.68990074795274125563082634471357, -5.1462573587733144719891242857557, -0.28572540572185717300257579154277, -2.8699365994760772657912184513407, -0.00066990078043800119125122938257277, -0.051839301776993168546781021177594, -0.051768526511884155327791745548893, 0.94926442591768844803112870067707, -0.024665572811628878879819382063943, 0.00050905086696004676199978078443564, 9.9999985467504988179143765592016, -9.9251064507235184919409221038222, -0.20502548009403387396787366014905, 0.025890173033776851807541419248082, 0.064996296577191733923051231158752, 0.03849385234621196388848929359483, 2.1625849694622738539351303188596, 0.65520790808346018874175342716626, 0.44435039932724557099064099929819, 0.0043578192082478223873254208342587, 1.8617296127835816221818276972044, 0.12728208213894573463953463487996, 0.00097070568149499410117581055246205, 0.22632518890680519696445571753429 
 suboptimal , 0.19609, -3.5710507448249559914188466791529, -3.6881385721628530127702561003389, -0.0065257243250114492852387293453376, -0.06441337059992133240449163622543, -3.6677373817078063745464105646632e-07, 2.6734803578528567591376940981718, -2.3498360867113423644525482814061, 0.15059910489430067270788526911929, 0.51054806715273826078771435277304, 0.015208556811446616308103330084123, -0.91448180920383426162345585908042, -0.0024099721665900328097797977733308, -5.4577240907637900590998469851911, -3.8685767257849881239906153496122, -0.091389696975193349115507146507298, -0.00062528330722746278645673978502373, 0.00064587151631824858254854460071215, -2.100957181920155569798680517124, 2.8918646040901525573474373231875, 0.20819577431732513850271004685055, 0.00025093199635964347216088299319381, 0.26001586176191082699915568809956, 0.022343833245908151924341566996191, 0.05831654502743197077130332672823, 0.0026595495157232143350334307996263, 0.14909994732572443010276685981808, 5.7893672960870690147316963702906, 1.6459055916097333760461651763762, 0.23746332949895654351735174714122, 2.4849839480178343353519720970723e-05, 0.46261198368791162094382229952316, 0.0026768066281919271863498632768597, 3.2534285203719415235923406726215 
 suboptimal , 0.39276, -4.8864957455017359322368974972051, -2.9105508917595299678282572131138, -0.048793932482916774207026833209966, -0.00022595642285658715090780612744226, -0.00022458064314973008200257420519108, 9.4649517407431069671019940869883, -9.9999950093022942354537008213811, 1.4989543967590941431211604140117, -5.4392316929093320609922557196114, 5.4753205647094249641781971149612, -17.218092521912687686835852218792, -2.5406902912673423600153910228983, -0.69439385142183962518203088620794, -0.11072144327186832224452217587896, -0.00070950995356000709154975503167861, -0.0011317120801126354882187863282184, -0.28591860630952531385773340844025, 1.0150376489516768074850006087217, 0.26854452952162866097296500811353, -0.0096772607586844226063016449757015, 0.012013688594904323517220667838501, -0.0081456430655013033204081551730269, 0.030744363493758114502796274791763, 0.080348615688012187119326767970051, 0.0020333991382103068848441473903677, 0.12642357450667371376873404642538, 0.58118078821597629612938362697605, 0.049159588649183301456435657428301, 0.00011822310064038033005414524145849, 7.7364247553383398425808081810828, 1.0739966788654065066310749898548, 0.00044082517596859136432482784151432, 1.437651241635025556320215400774 
 suboptimal , 0.20708, -0.080088312970653580125102166675788, -0.073795954021315293691607450909942, -6.220297579175215394158698911653e-05, -0.01696384581143239866918293046183, -0.52298620838893861151319697455619, -4.1832327945016087866747511725407, 4.9453422329468699203403048159089, 0.024142868486359162633059227687227, 0.24650774615154169566721975570545, -0.032760053083161988496385674807243, -0.016968355973788533386237276090469, -0.48332406202657723914839493772888, -7.9999218701558159237496132762391e-08, -0.10233343537294393998937636069968, -0.00010653053128470070683424947288742, -0.10280094763089554776858136619921, 0.849048489935939842965240131889, -0.0011444669757804768351477919807735, 9.999999999999976907361087796744, 0.0016127333404339736378646508185852, -9.8495167563005701083511667093262, -0.42116043420250681705852002778556, 0.026244972961179852816160362749542, 0.069171197174016887943004405769898, 0.00023286750112174944837839518640976, 0.013175014159332342975061713730156, 0.50531807088283287043850577902049, 4.4159067325802238009100877708402e-14, 0.060359600116167096139907499718902, 0.017546666940986631322285660417037, 0.099145258779501477253148777890601, 0.0018131076200696052535404900751814, 7.7388692061077697263498861857123e-06 
 suboptimal , 0.30543, -1.4437254097523299911642880033469, -0.0011598026834333170255464384723609, -0.059763573133088949973501513568408, -0.022963822720858780707109403351751, -0.025327526657924273600919207183324, -0.01260476085098307351406443643782, -0.0013196629450289345392155482272756, 1.1608255770995326017214210878592, 5.1096501041808926046883243543562, -5.2565512574844133197871087759268, -0.035377397254053338793156058272871, -0.078776473711265004862269734076108, -1.2245657951952573228027176810429, -0.0021297845711419900564809193355131, -0.00017503531598410103386521952106847, -0.078452838160787019550213017282658, 9.7211855263451898423454622388817, 0.76045647562734874913559224296478, 0.00098193701402183924606403842005875, 5.936603961811523966132092544612e-05, -9.4826833050261782886991568375379, -0.95308838789268901514617482462199, 0.015042511057468939059122980950178, 0.039144061424851418762305144127822, 0.0094179326542846216602233866410643, 0.54979839517683715133244959361036, 0.7565618127788659164068008067261, 0.011808098064982886638007997248678, 0.015393661166626500247378572794332, 0.033318788956511129206727872542615, 0.082093594934373959048912183789071, 0.0024820579733697833990646586244111, 0.010104817103300273162247435720928 
 suboptimal , 0.44561, -1.6495794912607311122343389797607, -6.3481701016619154157721860443075e-05, -1.1278880253594820715079549700022, -0.02335590575002211705113452921978, -0.014134875183753094207705913731843, 0.64897023236738771156950633667293, 0.014305789492636019830107407813102, -0.7593413192637255004768803701154, 1.6652629929193913937979232287034, -0.56919769551568966114984959858702, -0.24492509988020874645009428149933, -0.10860769619021844178963220883816, -0.2622968403631718570245823229925, -0.12698351718178943481341036658705, -0.33947383876394071622328851844941, -8.5077020072537325936915583030062e-07, 3.7108455951376906334360228356672, 4.4297769058416402998545891023241, -5.6334930997763716931103772367351, -1.5074089598871307504879268890363, 0.00027955868417106621848233771743253, -0.33785620313038644546566047210945, 0.016081477661330213085877360867926, 0.040897252193888136706512170803762, 0.00020606210129727622437471878935611, 0.011796231648877341519066064279286, 0.40120986667870811581693146763428, 0.00011079484616310212078370278643291, 2.5190192988031294696327222482068, 0.011766042577963252771522384421132, 5.0679487937748300298556334078648e-07, 0.52333481056051933677508714026771, 0.0014561667785695977389570643367733 
 suboptimal , 0.29277, -5.5282087565876629753347515361384, -0.22204273343245869987150342694804, -0.033454459624767937664380212936521, -0.0001404735674310009848220898165394, -0.22162921685685216255379259564506, 0.050864049939615373074897064498145, 9.9999979265665004390939429868013, 0.81374389679463621227739622554509, 0.033090042643318107185024246064131, -9.8976959159440696112142177298665, -0.33522337628404530462944421742577, -7.1395031210636776819455917575397, -7.5729408924843371053725604724605, -0.12226512883691582900258509880587, -0.00062732080956684813360241248503257, -0.0068454268781023303730437490344229, 3.7812583608914862587369043467334, -3.1684645577181607123407047765795, 0.38536012451681500579070416279137, 0.00034191829725584247387862313338758, 0.0015041540126036053934277525456764, -3.0488376699431629646142027922906, 0.031687899319545166643141698159525, 0.083731235934742576088041232651449, 0.070307635419198724613387696535938, 4.0926281144918403853694144345354, 1.2475657436707980885159940953599, 0.046038095505171343357897484338537, 0.33014474638437135700641533730959, 0.0014587442725782647466592489848836, 0.0032111028885319680206689163526335, 9.7240552252194607518731572781689, 0.0010424314435338013964255088339428 
